status,aspect,sentiment,compound
Normal,appetite,neutral,0.0
Normal,appetite,positive,0.7233
Normal,hopelessness,negative,-0.2023
Normal,sleep,negative,-0.4404
Normal,sleep,neutral,-0.0258
Normal,hopelessness,positive,0.3612
Normal,sleep,negative,-0.4404
Normal,sleep,negative,-0.4927
Normal,social_support,positive,0.7003
Normal,sleep,positive,0.2732
Normal,appetite,negative,-0.6705
Normal,therapy,positive,0.8591
Normal,sleep,positive,0.8402
Normal,appetite,positive,0.8402
Normal,sleep,positive,0.3067
Normal,sleep,neutral,0.0
Normal,social_support,positive,0.7845
Normal,social_support,positive,0.4215
Normal,social_support,positive,0.8569
Normal,therapy,positive,0.7003
Normal,social_support,positive,0.7684
Normal,appetite,negative,-0.2199
Normal,concentration,positive,0.6249
Normal,appetite,neutral,0.0
Normal,social_support,positive,0.8934
Normal,social_support,positive,0.5504
Normal,self_harm,negative,-0.8126
Normal,sleep,positive,0.7003
Normal,social_support,positive,0.882
Normal,hopelessness,positive,0.882
Normal,sleep,positive,0.0516
Normal,sleep,positive,0.5267
Normal,hopelessness,neutral,0.0
Normal,hopelessness,positive,0.9712
Normal,social_support,negative,-0.4407
Normal,sleep,positive,0.4404
Normal,sleep,neutral,0.0
Normal,social_support,positive,0.8176
Normal,sleep,negative,-0.4404
Normal,sleep,negative,-0.4019
Depression,social_support,negative,-0.6134
Depression,hopelessness,negative,-0.6134
Depression,motivation,positive,0.9231
Depression,appetite,positive,0.9231
Depression,social_support,positive,0.9231
Depression,self_harm,positive,0.9231
Depression,sleep,positive,0.17
Suicidal,energy,negative,-0.9893
Suicidal,social_support,negative,-0.9893
Suicidal,self_harm,negative,-0.9893
Suicidal,hopelessness,negative,-0.9893
Depression,social_support,negative,-0.9375
Suicidal,sleep,negative,-0.7687
Suicidal,social_support,negative,-0.7687
Suicidal,hopelessness,negative,-0.7687
Suicidal,self_harm,negative,-0.6293
Suicidal,self_harm,positive,0.6623
Suicidal,hopelessness,positive,0.6623
Depression,social_support,negative,-0.9967
Depression,therapy,negative,-0.9967
Depression,hopelessness,negative,-0.9967
Suicidal,sleep,negative,-0.9151
Suicidal,energy,negative,-0.9151
Suicidal,hopelessness,negative,-0.9151
Depression,appetite,negative,-0.988
Depression,medication,negative,-0.988
Depression,therapy,negative,-0.988
Depression,self_harm,negative,-0.988
Suicidal,social_support,negative,-0.9916
Suicidal,medication,negative,-0.9916
Depression,social_support,negative,-0.9926
Depression,self_harm,negative,-0.9926
Depression,hopelessness,negative,-0.9926
Suicidal,appetite,negative,-0.6413
Suicidal,social_support,negative,-0.6413
Suicidal,medication,negative,-0.6413
Suicidal,therapy,negative,-0.6413
Suicidal,hopelessness,negative,-0.6413
Suicidal,hopelessness,neutral,-0.0498
Suicidal,hopelessness,negative,-0.8172
Depression,sleep,negative,-0.9928
Depression,appetite,negative,-0.9928
Depression,social_support,negative,-0.9928
Depression,self_harm,negative,-0.9928
Depression,hopelessness,negative,-0.9928
Suicidal,self_harm,neutral,-0.0037
Suicidal,hopelessness,neutral,-0.0037
Suicidal,hopelessness,negative,-0.2263
Suicidal,social_support,negative,-0.8119
Suicidal,self_harm,negative,-0.8119
Suicidal,hopelessness,negative,-0.8119
Depression,social_support,negative,-0.9204
Depression,medication,negative,-0.9556
Depression,therapy,negative,-0.9556
Depression,social_support,negative,-0.723
Suicidal,hopelessness,negative,-0.8271
Depression,hopelessness,negative,-0.5859
Depression,motivation,positive,0.9777
Depression,social_support,positive,0.9777
Depression,hopelessness,positive,0.9777
Suicidal,energy,negative,-0.9731
Suicidal,hopelessness,negative,-0.9731
Suicidal,social_support,negative,-0.9893
Suicidal,hopelessness,negative,-0.9893
Suicidal,social_support,positive,0.4679
Suicidal,therapy,positive,0.4679
Suicidal,self_harm,positive,0.4679
Suicidal,hopelessness,positive,0.4679
